nombre,telefono,email,web,ciudad,puntuacion
Cafetería Churrería Las Caracolas (Bar Quemao),34928603227,,,Arucas,
Bar Cafetería Polideportivo,34928633388,,,Arucas,
Cafetería Arucas,34928297478,,,Arucas,
Cafetería Restaurante El Mercado,34928661621,,,Las Palmas de Gran Canaria,
Café Regina Mesa y López,34928918812,,,Las Palmas de Gran Canaria,
Cafetería El Canguro,34928334031,,,Las Palmas de Gran Canaria,
Cafés de Carla,34928424168,,,Las Palmas de Gran Canaria,
Café Luwak (Suites 1478),34928847772,,,Las Palmas de Gran Canaria,
Bar Hermanos Díaz,,,,Arucas,
La Cantonera de Arucas,,,,Arucas,
Tasca Jamón Jamón,,,,Arucas,
Bar El Gótico,,,,Arucas,
Casa de Pepe,,,,Arucas,
Cafetería Esterlizia,,,,Arucas,
Cafetería Las Vegas,,,,Arucas,
Cafetería Los Chinijos,,,,Arucas,
Siroco Cafetería,,,,Arucas,
Antico Caffé,,,,Las Palmas de Gran Canaria,
Un Churrito Por Favor,,,,Las Palmas de Gran Canaria,
Bar Correos,,,,Las Palmas de Gran Canaria,
